created_at,text,likes,retweets,clean_text
2025-06-06 17:02:00+00:00,"@ICEgov God don't like ugly imagine Pres. Trump n Elon Musk are at it. After Pres. Trump ordering US ICE officer's to carry mass rape, torture, illegal detention, execution n attempted execution of immigrants.",0,0,god dont like ugly imagine pres trump n elon musk are at it after pres trump ordering us ice officers to carry mass rape torture illegal detention execution n attempted execution of immigrants
2025-06-06 17:02:00+00:00,Dogecoin Drops 6% Amid Elon Musk and Donald Trump Public Feud https://t.co/UdvIwNFoIv #cryptonews #cryptocurrencynews #crypto #bitcoin,0,0,dogecoin drops  amid elon musk and donald trump public feud
2025-06-06 17:01:59+00:00,'Trump will prevail': Elon Musk's dad sides with president in 'silly' fight https://t.co/3nze31lbHE,0,0,trump will prevail elon musks dad sides with president in silly fight
2025-06-06 17:01:58+00:00,"Thanks for participating on my giveaway.

You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★ https://t.co/V9yyhpP8N6",0,0,"thanks for participating on my giveaway

you have been selected on 𝕏 among our lucky winners

type yes to proceed 

signed
elon musk"
2025-06-06 17:01:58+00:00,"Thanks for participating on my giveaway.

You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★ https://t.co/I6HvHMR3dT",0,0,"thanks for participating on my giveaway

you have been selected on 𝕏 among our lucky winners

type yes to proceed 

signed
elon musk"
2025-06-06 17:01:57+00:00,"@dimattia_susan Beware the real Elon musk will never message you, incase you already fell for that quickly message @teamgeoffrey2 for your asset recovery you",0,0,beware the real elon musk will never message you incase you already fell for that quickly message  for your asset recovery you
2025-06-06 17:01:57+00:00,"Hello great fan. I’m glad you made it to the stage

You have been selected on 𝕏 as my lucky fan.

Type “”YES “” to have proceed 

Signed:
ELON MUSK ★ https://t.co/Z3ZOiiqfCX",0,0,"hello great fan im glad you made it to the stage

you have been selected on 𝕏 as my lucky fan

type yes  to have proceed 

signed
elon musk"
2025-06-06 17:01:57+00:00,@DschlopesIsBack Probably. But Elon musk made it bigger,0,0,probably but elon musk made it bigger
2025-06-06 17:01:56+00:00,"NOTIFICATIONS FROM ELON MUSK
I'm contacting you because we are hosting a program to celebrate and appreciate some of my amazing fans on 𝕏Have you heard about it?
Contact me now 
https://t.co/aYf7mau4Kz https://t.co/CseNFKqj0n",0,0,"notifications from elon musk
im contacting you because we are hosting a program to celebrate and appreciate some of my amazing fans on 𝕏have you heard about it
contact me now"
2025-06-06 17:01:55+00:00,"LoL , getting back at Elon musk. @elonmusk https://t.co/N7pBtvAOEy",0,0,lol  getting back at elon musk
